Tracking Number,PC,RI,DRI,Length,Height,Width,Weight,Zone,Base Rate,Plus Rate
'4202026000009245899000133732730921',3,NP,N,00000,00000,00000,9.96,05,5.83,
'4202026000009245899000133790650563',3,NP,N,00000,00000,00000,12.21,07,8.5,
'4202026000009245899000133788170356',4,NP,N,00000,00000,00000,10.66,07,7.52,
'4202026000009245899000133766504088',4,NP,N,00000,00000,00000,1.91,08,3.39,
'4202026000009245899000133741746328',5,NP,N,00000,00000,00000,6.07,04,4.3,
'4202026000009245899000133771925846',5,NP,N,00000,00000,00000,12.51,05,6.94,
'4202026000009245899000133786961701',3,PR,N,00000,00000,00000,4.42,07,3.45,
'4202026000009245899000133769247512',3,PR,N,00000,00000,00000,14.5,06,7.09,
'4202026000009245899000133737193442',4,PR,N,00000,00000,00000,9.49,05,4.46,
'4202026000009245899000133756608292',4,PR,N,00000,00000,00000,5.23,07,3.81,
'4202026000009245899000133743100570',5,PR,N,00000,00000,00000,5.28,01,2.39,
'4202026000009245899000133705209657',5,PR,N,00000,00000,00000,0.89,01,1.64,
'4202026000009245899000133782788199',3,PR,B,00000,00000,00000,6.42,04,2.34,
'4202026000009245899000133786240019',3,PR,B,00000,00000,00000,10.18,01,2.13,
'4202026000009245899000133750754710',4,PR,B,00000,00000,00000,0.04,03,1.32,
'4202026000009245899000133715008030',4,PR,B,00000,00000,00000,2.02,01,1.48,
'4202026000009245899000133705521971',5,PR,B,00000,00000,00000,6.14,03,2.0,
'4202026000009245899000133726296677',5,PR,B,00000,00000,00000,0.12,03,1.33,
'4202026000009245899000133759362395',3,PR,S,00000,00000,00000,12.96,00,1.72,
'4202026000009245899000133706141578',3,PR,S,00000,00000,00000,8.8,00,1.45,
'4202026000009245899000133737117348',4,PR,S,00000,00000,00000,6.65,00,1.31,
'4202026000009245899000133781960946',4,PR,S,00000,00000,00000,3.41,00,1.1,
'4202026000009245899000133747527238',5,PR,S,00000,00000,00000,9.42,00,1.49,
'4202026000009245899000133755157174',5,PR,S,00000,00000,00000,11.63,00,1.63,
'4202026000009245899000133739967757',3,PR,D,00000,00000,00000,1.04,00,0.75,
'4202026000009245899000133777906784',3,PR,D,00000,00000,00000,10.21,00,1.01,
'4202026000009245899000133765691814',4,PR,D,00000,00000,00000,14.17,00,1.12,
'4202026000009245899000133751641030',4,PR,D,00000,00000,00000,11.51,00,1.05,
'4202026000009245899000133732519195',5,PR,D,00000,00000,00000,8.2,00,0.95,
'4202026000009245899000133745189089',5,PR,D,00000,00000,00000,0.97,00,0.75,
