Tracking Number,PC,RI,DRI,Length,Height,Width,Weight,Zone,Base Rate,Plus Rate
4202026000009241999000133791794897,3,NP,N,00000,00000,00000,4.31,05,3.8,
4202026000009242099000133784786225,3,NP,N,00000,00000,00000,10.34,01,4.66,
4202026000009242199000133746292089,3,NP,N,00000,00000,00000,1.57,08,3.39,
4202026000009242299000133775701660,3,NP,N,00000,00000,00000,11.99,06,7.53,
4202026000009242399000133755281419,3,NP,N,00000,00000,00000,2.74,04,3.06,
4202026000009242499000133744952167,3,NP,N,00000,00000,00000,2.0,05,2.87,
4202026000009242599000133782903060,3,NP,N,00000,00000,00000,9.38,08,8.43,
4202026000009242699000133793883749,3,NP,N,00000,00000,00000,3.99,08,4.65,
4202026000009242799000133750604253,3,NP,N,00000,00000,00000,12.93,01,5.12,
4202026000009242899000133733912974,3,NP,N,00000,00000,00000,8.0,08,7.17,
4202026000009243099000133787678396,3,NP,N,00000,00000,00000,14.6,03,6.18,
4202026000009243199000133775594638,3,NP,N,00000,00000,00000,9.1,01,4.43,
4202026000009243299000133733350402,3,NP,N,00000,00000,00000,0.85,01,2.48,
4202026000009243499000133747305437,3,NP,N,00000,00000,00000,8.3,05,5.46,
4202026000009243599000133706904252,3,NP,N,00000,00000,00000,4.52,07,4.58,
4202026000009243699000133719863582,3,NP,N,00000,00000,00000,9.51,05,5.83,
4202026000009243799000133734088759,3,NP,N,00000,00000,00000,4.56,06,4.38,
4202026000009243999000133709480472,3,NP,N,00000,00000,00000,1.88,08,3.39,
4202026000009244699000133798441326,3,NP,N,00000,00000,00000,10.83,08,9.06,
4202026000009244799000133764306003,3,NP,N,00000,00000,00000,4.23,01,3.17,
4202026000009244899000133711538117,3,NP,N,00000,00000,00000,8.01,07,6.54,
4202026000009244999000133700649020,3,NP,N,00000,00000,00000,0.39,04,2.6,
4202026000009245299000133773669584,3,NP,N,00000,00000,00000,8.15,01,4.2,
4202026000009245399000133722372701,3,NP,N,00000,00000,00000,7.99,07,6.05,
4202026000009245499000133765444714,3,NP,N,00000,00000,00000,7.96,07,6.05,
4202026000009245599000133711783503,3,NP,N,00000,00000,00000,12.94,07,8.5,
4202026000009245699000133726912914,3,NP,N,00000,00000,00000,14.84,01,5.58,
4202026000009245799000133780407145,3,NP,N,00000,00000,00000,13.5,06,8.43,
4202026000009245899000133726655190,3,NP,N,00000,00000,00000,11.97,07,8.01,
4202026000009245999000133790104882,3,NP,N,00000,00000,00000,1.62,03,2.67,
4202026000009246099000133776047673,3,NP,N,00000,00000,00000,13.92,01,5.35,
4202026000009246199000133703611852,3,NP,N,00000,00000,00000,3.56,01,3.05,
4202026000009246299000133775401096,3,NP,N,00000,00000,00000,4.39,03,3.35,
4202026000009246399000133724349493,3,NP,N,00000,00000,00000,14.65,07,9.48,
4202026000009246499000133715837852,3,NP,N,00000,00000,00000,12.84,05,6.94,
4202026000009246799000133703664207,3,NP,N,00000,00000,00000,4.57,08,5.28,
4202026000009246899000133740645346,3,NP,N,00000,00000,00000,11.57,01,4.89,
4202026000009246999000133762228568,3,NP,N,00000,00000,00000,11.9,06,7.53,
4202026000009247099000133721414899,3,NP,N,00000,00000,00000,12.39,07,8.5,
4202026000009247299000133798202583,3,NP,N,00000,00000,00000,3.78,06,3.93,
4202026000009247399000133709995574,3,NP,N,00000,00000,00000,4.38,03,3.35,
4202026000009247799000133776786073,3,NP,N,00000,00000,00000,8.02,04,4.92,
4202026000009267399000133768600357,3,NP,N,00000,00000,00000,5.42,08,5.91,
4202026000009267499000133766803551,3,NP,N,00000,00000,00000,6.98,01,3.74,
4202026000009241999000133737909825,3,NP,N,00000,00000,00000,3.0,01,2.82,
4202026000009242099000133736450645,3,NP,N,00000,00000,00000,14.7,01,5.58,
4202026000009242199000133731529046,3,NP,N,00000,00000,00000,13.45,07,8.99,
4202026000009242299000133793633197,3,NP,N,00000,00000,00000,4.26,03,3.35,
4202026000009242399000133714922737,3,NP,N,00000,00000,00000,14.36,03,6.18,
4202026000009242499000133759697640,3,NP,N,00000,00000,00000,8.82,08,7.8,
4202026000009242599000133756625735,3,NP,N,00000,00000,00000,2.74,08,4.02,
4202026000009242699000133756404445,3,NP,N,00000,00000,00000,5.5,05,4.35,
4202026000009242799000133704908862,3,NP,N,00000,00000,00000,9.85,05,5.83,
4202026000009242899000133742351190,3,NP,N,00000,00000,00000,1.28,06,2.81,
4202026000009243099000133744857261,3,NP,N,00000,00000,00000,12.57,08,10.32,
4202026000009243199000133754424536,3,NP,N,00000,00000,00000,12.43,03,5.64,
4202026000009243299000133758327464,3,NP,N,00000,00000,00000,14.42,04,6.78,
4202026000009243499000133779851639,3,NP,N,00000,00000,00000,14.47,06,8.88,
4202026000009243599000133760084286,3,NP,N,00000,00000,00000,8.87,05,5.46,
4202026000009243699000133719510040,3,NP,N,00000,00000,00000,0.35,05,2.69,
4202026000009243799000133770545517,3,NP,N,00000,00000,00000,14.7,03,6.18,
4202026000009243999000133726140561,3,NP,N,00000,00000,00000,11.24,08,9.69,
4202026000009244699000133726363580,3,NP,N,00000,00000,00000,10.74,01,4.66,
4202026000009244799000133798172559,3,NP,N,00000,00000,00000,13.91,05,7.31,
4202026000009244899000133712120425,3,NP,N,00000,00000,00000,6.4,06,5.28,
4202026000009244999000133727213214,3,NP,N,00000,00000,00000,0.56,07,2.87,
4202026000009245299000133728879668,3,NP,N,00000,00000,00000,6.52,08,6.54,
4202026000009245399000133722015907,3,NP,N,00000,00000,00000,5.31,07,5.07,
4202026000009245499000133751914978,3,NP,N,00000,00000,00000,6.84,05,4.72,
